Gen.G vs. Global Esports,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,Gen.G,0,2,Lotus,0.22,111,0,2,1,-2,100%,111,14%,05/07/2024,18:00
Gen.G vs. Global Esports,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,Gen.G,0,2,Ascent,0.67,191,5,8,3,-3,67%,142,24%,05/07/2024,18:00
Global Esports vs. T1,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,T1,1,2,Icebox,0.95,136,5,8,5,-3,83%,117,24%,30/06/2024,15:00
Global Esports vs. T1,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,T1,1,2,Lotus,0.97,146,14,21,12,-7,77%,112,18%,30/06/2024,15:00
Global Esports vs. T1,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,T1,1,2,Ascent,0.75,119,3,7,7,-4,89%,93,20%,30/06/2024,15:00
Global Esports vs. BLEED,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Global Esports,BLEED,2,0,Lotus,1.40,195,4,3,5,+1,86%,154,27%,23/06/2024,15:00
Global Esports vs. BLEED,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Global Esports,BLEED,2,0,Sunset,1.55,246,15,9,10,+6,84%,169,30%,23/06/2024,15:00
Team Secret vs. Global Esports,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,Team Secret,0,2,Sunset,0.94,99,3,3,4,0,78%,64,50%,17/06/2024,17:35
Team Secret vs. Global Esports,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,Team Secret,0,2,Ascent,0.75,168,10,12,4,-2,55%,113,37%,17/06/2024,17:35
Global Esports vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,DetonatioN FocusMe,2,1,Split,0.83,167,5,8,4,-3,73%,131,21%,27/04/2024,17:00
Global Esports vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,DetonatioN FocusMe,2,1,Lotus,0.91,189,20,19,6,+1,72%,133,23%,27/04/2024,17:00
Global Esports vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,DetonatioN FocusMe,2,1,Ascent,0.51,92,2,4,0,-2,50%,57,9%,27/04/2024,17:00
Global Esports vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,Paper Rex,0,2,Sunset,0.78,158,6,10,4,-4,67%,115,27%,23/04/2024,17:50
Global Esports vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,Paper Rex,0,2,Icebox,0.76,166,13,18,5,-5,71%,127,22%,23/04/2024,17:50
Global Esports vs. Rex Regum Qeon,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,Rex Regum Qeon,2,0,Lotus,1.16,200,7,6,3,+1,64%,125,10%,21/04/2024,15:00
Global Esports vs. Rex Regum Qeon,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,Rex Regum Qeon,2,0,Icebox,0.98,179,10,7,4,+3,75%,114,9%,21/04/2024,15:00
Global Esports vs. TALON,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,TALON,1,2,Icebox,2.38,352,6,1,0,+5,100%,194,28%,15/04/2024,17:10
Global Esports vs. TALON,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,TALON,1,2,Breeze,0.98,196,21,16,3,+5,73%,131,23%,15/04/2024,17:10
Global Esports vs. TALON,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,TALON,1,2,Lotus,1.16,216,11,8,3,+3,77%,148,22%,15/04/2024,17:10
Global Esports vs. DRX,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,DRX,0,2,Ascent,0.76,128,4,8,1,-4,67%,89,24%,08/04/2024,18:20
Global Esports vs. DRX,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,DRX,0,2,Lotus,0.89,173,11,11,2,0,74%,113,17%,08/04/2024,18:20
Global Esports vs. ZETA DIVISION,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,ZETA DIVISION,1,2,Sunset,0.72,209,2,2,0,0,100%,113,50%,06/04/2024,15:00
Global Esports vs. ZETA DIVISION,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,ZETA DIVISION,1,2,Icebox,0.78,197,15,19,6,-4,57%,146,31%,06/04/2024,15:00
Global Esports vs. ZETA DIVISION,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,ZETA DIVISION,1,2,Ascent,0.82,222,9,9,4,0,58%,169,29%,06/04/2024,15:00
ZETA DIVISION vs. Global Esports,Champions Tour 2024: Pacific Kickoff,Group Stage,loss,Global Esports,ZETA DIVISION,0,2,Bind,0.73,99,4,6,0,-2,56%,49,14%,21/02/2024,19:15
ZETA DIVISION vs. Global Esports,Champions Tour 2024: Pacific Kickoff,Group Stage,loss,Global Esports,ZETA DIVISION,0,2,Lotus,0.75,169,12,15,2,-3,57%,96,20%,21/02/2024,19:15
BLEED vs. Global Esports,Champions Tour 2024: Pacific Kickoff,Group Stage,win,Global Esports,BLEED,2,1,Sunset,0.74,144,4,7,5,-3,70%,84,25%,19/02/2024,16:15
BLEED vs. Global Esports,Champions Tour 2024: Pacific Kickoff,Group Stage,win,Global Esports,BLEED,2,1,Icebox,1.14,222,24,19,7,+5,67%,142,25%,19/02/2024,16:15
BLEED vs. Global Esports,Champions Tour 2024: Pacific Kickoff,Group Stage,win,Global Esports,BLEED,2,1,Split,0.91,218,7,7,2,0,55%,146,32%,19/02/2024,16:15
ZETA DIVISION vs. Global Esports,Champions Tour 2024: Pacific Kickoff,Group Stage,loss,Global Esports,ZETA DIVISION,0,2,Bind,1.17,177,6,7,3,-1,64%,124,38%,18/02/2024,13:00
