skrossi + LF vs f0rsaken right now!,General Discussion,0,123,"October 29, 2022 at 12:39 AM AEDT"
"""something is still above Demon1"" - f0rsaken",General Discussion,19,96,"August 25, 2023 at 8:39 AM AEST"
F0rsaken and Jing vs Derke and Alfajer,General Discussion,0,85,"June 25, 2022 at 9:25 PM AEST"
the most overrated player is f0rsaken,General Discussion,0,80,"April 16, 2022 at 4:56 AM AEST"
f0rsaken is the best.,General Discussion,56,72,"March 18, 2024 at 10:42 PM AEDT"
Chronicle >>>>> F0rsaken by far,General Discussion,0,67,"May 13, 2024 at 7:01 AM AEST"
f0rsakeN and something lost to a GE player,General Discussion,0,62,"March 14, 2023 at 2:45 AM AEDT"
f0rsaken is shit,General Discussion,0,62,"May 13, 2024 at 1:00 PM AEST"
f0rsaken NA franchise,General Discussion,0,59,"July 19, 2022 at 4:10 PM AEST"
f0rsakeN PLZ,General Discussion,1,57,"July 14, 2024 at 12:29 AM AEST"
f0rsakeN in Berlin,General Discussion,4,56,"August 21, 2021 at 7:55 PM AEST"
SEN f0rsaken??,General Discussion,0,50,"April 22, 2022 at 4:51 AM AEST"
something > f0rsaken,General Discussion,1,50,"May 13, 2024 at 1:23 PM AEST"
F0rsaken little bro,General Discussion,1,47,"July 14, 2022 at 11:09 PM AEST"
F0rsaken is the hottest valorant player,General Discussion,0,45,"September 14, 2023 at 1:04 AM AEST"
f0rsaken,General Discussion,2,40,"August 4, 2024 at 11:13 PM AEST"
SEN T0nz vs PRX F0rsaken,General Discussion,4,40,"November 22, 2023 at 6:33 PM AEDT"
F0rsaken about prx situation,General Discussion,25,39,"February 11, 2025 at 5:28 PM AEDT"
F0rsaken covid !?,General Discussion,0,38,"July 13, 2022 at 8:03 PM AEST"
f0rsakeN HYPE,General Discussion,0,37,"September 4, 2021 at 7:59 PM AEST"
F0RSAKEN YORU LOL,General Discussion,1,37,"March 25, 2022 at 5:33 PM AEDT"
Chron > f0rsaken,General Discussion,9,36,"August 16, 2024 at 8:49 PM AEST"
Something's Jett vs f0rsaken's Jett,General Discussion,0,35,"March 4, 2023 at 5:30 PM AEDT"
F0rsaken,General Discussion,5,34,"March 23, 2025 at 8:46 PM AEDT"
indo come (f0rsaken fans),General Discussion,0,33,"April 2, 2023 at 10:05 PM AEST"
heat and f0rsaken,General Discussion,7,32,"September 12, 2021 at 6:45 AM AEST"
PRX f0rsakeN,General Discussion,0,31,"May 19, 2022 at 6:41 PM AEST"
f0rsaken 18 assist,General Discussion,6,31,"May 4, 2024 at 9:52 PM AEST"
f0rsaken and chovy?,Off Topic,-8,31,"May 16, 2024 at 7:47 PM AEST"
lmao f0rsaken,General Discussion,0,31,"January 30, 2025 at 12:11 AM AEDT"
Jinggg or F0rsaken,General Discussion,2,30,"November 23, 2022 at 7:59 PM AEDT"
F0rsaken agent pool,General Discussion,20,30,"August 11, 2023 at 11:51 AM AEST"
patiphan vs f0rsakeN,General Discussion,0,28,"October 26, 2022 at 2:52 AM AEDT"
PRX F0RSAKEN IS a genius,General Discussion,0,28,"July 17, 2023 at 12:30 PM AEST"
"Alfajer > f0rsaken, Jinggg ?",General Discussion,0,27,"June 29, 2022 at 10:07 PM AEST"
F0rsaken Interview,General Discussion,27,27,"August 11, 2023 at 12:43 PM AEST"
F0rsaken underpaid?,General Discussion,0,26,"April 18, 2022 at 1:46 PM AEST"
f0rsaken new role?,General Discussion,2,26,"March 13, 2023 at 10:44 PM AEDT"
f0rsakeN is the problem,General Discussion,6,26,"April 8, 2023 at 9:49 PM AEST"
I feel bad for f0rsakeN,General Discussion,0,26,"June 4, 2024 at 3:29 AM AEST"
F0rsakeN is a cheater,General Discussion,0,25,"December 7, 2023 at 11:48 PM AEDT"
f0rsaken thread,General Discussion,14,25,"March 16, 2024 at 4:47 AM AEDT"
Prx F0rsaken,General Discussion,1,25,"July 6, 2024 at 5:40 PM AEST"
f0rsakeN,General Discussion,0,24,"July 24, 2021 at 4:49 PM AEST"
HOW MUCH IS F0rsaken WORTH????,General Discussion,0,24,"July 23, 2022 at 2:03 AM AEST"
Mindfreak and f0rsaken,General Discussion,1,24,"April 4, 2023 at 1:43 PM AEST"
F0rsaken 10 yo brother,General Discussion,4,23,"December 19, 2022 at 3:22 AM AEDT"
f0rsakeN and Leaf same person?,General Discussion,6,23,"May 6, 2023 at 9:38 PM AEST"
f0rsakeN pacific MVP,General Discussion,10,23,"June 21, 2023 at 9:11 PM AEST"
F0rsaken vs Surf vs Pati,General Discussion,0,22,"March 25, 2022 at 1:17 AM AEDT"
f0rsaken 1000000 iq strat nostradamus,General Discussion,8,22,"November 21, 2023 at 4:23 PM AEDT"
F0rsaken is on fraudwatch,General Discussion,0,22,"May 31, 2024 at 10:28 PM AEST"
Forsaken express interest to join FNATIC/M3C,General Discussion,8,96,"July 6, 2022 at 11:22 PM AEST"
f0rsaken > tenz ?,General Discussion,2,21,"March 25, 2022 at 6:32 PM AEDT"
F0rsaken Agent Pool,General Discussion,16,21,"March 18, 2024 at 7:08 AM AEDT"
f0rsakeN's pickems,General Discussion,0,21,"July 7, 2023 at 2:45 AM AEST"
f0rsaken open to go to EU/NA,General Discussion,0,20,"April 22, 2022 at 8:13 PM AEST"
f0rsakeN appreciation,General Discussion,6,20,"June 24, 2023 at 6:13 PM AEST"
F0rsaken height,General Discussion,0,20,"August 25, 2023 at 8:25 AM AEST"
F0rsaken asking Jinggg,General Discussion,34,20,"August 24, 2023 at 2:22 PM AEST"
f0rsaken is the greatest VAL player of all time,General Discussion,0,20,"March 23, 2025 at 8:46 PM AEDT"
f0rsaken aim,General Discussion,32,19,"May 12, 2023 at 9:08 PM AEST"
F0RSAKEN,General Discussion,4,19,"August 11, 2023 at 11:43 AM AEST"
Why f0rsaken is the undisputed GOAT,General Discussion,0,19,"September 15, 2023 at 6:27 AM AEST"
Take f0rsaken back to duelist?,General Discussion,6,19,"August 4, 2024 at 8:09 PM AEST"
f0rsaken and Japan,General Discussion,0,19,"July 23, 2023 at 11:18 PM AEST"
if PRX disband,General Discussion,0,98,"April 17, 2024 at 4:37 AM AEST"
make your world roster,General Discussion,3,100,"May 29, 2024 at 9:20 AM AEST"
Jinggg > f0rsaken,General Discussion,1,18,"March 26, 2022 at 9:10 PM AEDT"
SEN f0rsaken,General Discussion,0,18,"October 7, 2022 at 6:26 AM AEDT"
skrossi > jinggg/f0rsaken/mixwell/zeek,General Discussion,0,18,"December 8, 2022 at 3:58 PM AEDT"
Keznit racism towards PRX F0rsaken,General Discussion,0,18,"January 5, 2024 at 9:23 PM AEDT"
f0rsakeN vs chronicle,General Discussion,0,18,"April 20, 2024 at 9:52 PM AEST"
f0rsaken glow down,General Discussion,0,18,"August 9, 2024 at 4:30 AM AEST"
F0RSAKEN SAYS THAT,General Discussion,1,18,"March 23, 2024 at 6:55 AM AEDT"
Jinggg vs F0rsaken,General Discussion,0,17,"August 25, 2022 at 1:58 PM AEST"
MiTH f0rsaken,General Discussion,2,17,"October 18, 2022 at 3:52 PM AEDT"
f0rsakeN one of the best flex in the world?,General Discussion,5,17,"June 20, 2023 at 6:06 PM AEST"
f0rsaken is not pacific goat,General Discussion,0,16,"March 22, 2024 at 2:21 AM AEDT"
f0rsakeN form slump,General Discussion,0,16,"May 5, 2024 at 12:36 AM AEST"
Flexibility is so overrated.,General Discussion,0,86,"May 5, 2024 at 7:13 PM AEST"
forsaken or chronicle?,Off Topic,-32,103,"May 13, 2024 at 11:31 PM AEST"
reason why f0rsaken is the goat,General Discussion,0,16,"June 19, 2024 at 12:35 AM AEST"
f0rsaken too good,General Discussion,0,15,"August 7, 2021 at 3:42 AM AEST"
f0rsakeN NeoN,General Discussion,3,15,"July 20, 2024 at 6:41 PM AEST"
f0rsaken skincare routine,General Discussion,2,15,"August 11, 2023 at 1:25 PM AEST"
Monyet - f0rsaken,General Discussion,0,15,"September 11, 2023 at 4:13 AM AEST"
F0rsaken vs Patipan,General Discussion,1,14,"September 11, 2021 at 11:44 PM AEST"
f0rsaken vs xccurate,General Discussion,1,14,"September 14, 2023 at 11:02 PM AEST"
Surf is better than f0rsaken ?,General Discussion,0,14,"April 29, 2024 at 12:37 AM AEST"
f0rsaken crying why?,General Discussion,0,14,"June 2, 2024 at 12:28 AM AEST"
APAC fans come,General Discussion,0,98,"November 2, 2022 at 11:22 PM AEDT"
F0rsaken = best yoru in the world,General Discussion,9,14,"November 19, 2022 at 7:27 AM AEDT"
F0rsakeN,General Discussion,0,14,"March 26, 2023 at 8:34 PM AEDT"
All-VCT Team Voting,General Discussion,2,87,"August 26, 2023 at 3:48 PM AEST"
Every agent GOAT,General Discussion,0,108,"September 19, 2023 at 7:21 AM AEST"
Yay Victor > F0rsaken Jinggg,General Discussion,0,13,"July 18, 2022 at 9:29 PM AEST"
f0rsaken yoru,General Discussion,4,13,"March 26, 2023 at 9:22 PM AEDT"
f0rsakeN mad,General Discussion,1,13,"June 2, 2023 at 10:20 PM AEST"
F0rsaken best flex? OMEGALUL,General Discussion,0,13,"August 20, 2023 at 7:04 AM AEST"
f0rsaken Deadlock,General Discussion,0,13,"August 22, 2023 at 3:38 AM AEST"
f0rsaken doing revolutionary stuff again,General Discussion,6,13,"February 19, 2024 at 7:19 PM AEDT"
f0rsakeN Raze,General Discussion,2,13,"March 18, 2024 at 6:50 AM AEDT"
