forsaken or chronicle?,Off Topic,-32,103,13/5/2024,23:31
Forsaken express interest to join FNATIC/M3C,General Discussion,8,96,6/7/2022,23:22
Forsaken is mad on Monyet?,General Discussion,9,89,24/3/2024,5:33
Indonesia doesn't support Forsaken,General Discussion,0,80,18/7/2022,3:16
DRX need forsaken,General Discussion,0,74,19/4/2022,7:51
-mindfreak -forsaken,General Discussion,0,59,15/4/2023,21:47
"forsaken destroying optic, not the first time.",General Discussion,135,56,23/7/2022,1:50
tenz vs forsaken,General Discussion,4,46,1/12/2023,18:10
FORSAKEN,General Discussion,0,45,25/7/2022,5:41
forsaken,General Discussion,0,42,19/3/2022,17:42
Forsaken = Faker,General Discussion,0,42,13/3/2024,24:20
Forsaken is overrated,General Discussion,16,40,15/5/2024,12:39
BLEED offered 2.6 M to forsaken,General Discussion,4,38,23/7/2022,20:28
forsaken breach,General Discussion,2,38,4/5/2024,21:25
GENG FORSAKEN,General Discussion,1,35,12/8/2024,13:08
Forsaken,General Discussion,0,34,22/8/2023,19:14
if forsaken and jingg leaves from prx,General Discussion,3,33,5/1/2023,22:20
Forsaken tolol anying,General Discussion,0,31,24/6/2023,13:22
OpTic forsaken,General Discussion,13,29,20/7/2022,2:40
Goat debate (aspas vs forsaken),General Discussion,0,29,3/5/2024,22:23
free forsaken,General Discussion,0,29,12/8/2024,5:28
Forsaken going to EU/NA next year,General Discussion,0,28,15/7/2022,1:55
Forsaken overrated,General Discussion,0,28,13/5/2024,11:16
forsaken and benkai's wish resolved,General Discussion,1,28,15/7/2022,3:20
Prelude to chaos vs Forsaken Vandal,General Discussion,0,27,7/9/2023,18:12
FORSAKEN GOAT FLEX,General Discussion,19,27,11/8/2024,21:50
FORSAKEN HAS 67% HS,General Discussion,6,26,23/7/2022,1:59
Jinggg&Forsaken > aspas&garbage1,General Discussion,0,26,18/8/2023,22:34
Forsaken face,General Discussion,0,25,23/4/2024,22:09
forsaken went -22 ?,General Discussion,2,25,31/5/2024,20:43
why is forsaken not in jett,General Discussion,0,24,13/10/2021,1:04
Optic Ind Forsaken will be Back,Off Topic,0,24,29/3/2023,12:45
Forsaken and d4v4i,General Discussion,0,24,2/4/2023,19:53
Forsaken Vandal,General Discussion,0,23,1/8/2022,18:14
Forsaken gonna be the first Valorant GOAT,General Discussion,0,22,24/6/2023,18:04
Forsaken how,General Discussion,2,22,2/5/2024,14:59
Forsaken got kennyS approval,Off Topic,11,21,28/6/2022,12:45
DRX Forsaken,General Discussion,0,21,14/9/2022,2:22
Rossi New FORSAKEN???,General Discussion,1,21,30/4/2023,19:57
"fns?boaster?boostio?nobody,forsaken?",General Discussion,0,21,26/1/2025,3:07
Forsaken duelist,General Discussion,1,21,23/3/2025,23:46
PRX forsaken best Jett in the world ?,General Discussion,0,20,23/2/2022,6:54
Forsaken top 10?,General Discussion,6,20,18/3/2024,7:04
why are everyone calling forsaken bad now??,General Discussion,0,20,13/5/2024,24:05
Forsaken > Yay?,General Discussion,12,19,23/7/2022,1:47
Forsaken Killjoy,General Discussion,0,19,8/4/2023,23:10
subroza: skrossi is forsaken word.exe lan banned?,Off Topic,2,18,19/7/2021,15:25
Take on forsaken!,General Discussion,0,18,28/5/2023,20:41
Forsaken did more for the India than Skrossi,General Discussion,11,18,26/8/2023,14:45
Why is forsaken in GOAT debate?,General Discussion,0,18,20/8/2024,14:03
Tenz and forsaken,General Discussion,5,18,28/2/2025,5:45
"Drop your phantom and Vandal skin, Ill rate it.",Off Topic,1,314,25/10/2024,15:13
Forsaken playing with Something Come watch,General Discussion,1,17,8/3/2023,1:43
Forsaken DOGSHIT,General Discussion,0,16,17/7/2022,23:53
Zekken and cryo > jing and forsaken,General Discussion,0,16,3/9/2022,23:21
