Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Lotus,1.04,202,16,15,3,+1,61%,129,25%,30/03/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Fracture,1.04,181,37,43,12,-6,61%,130,24%,30/03/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Haven,1.23,246,17,12,1,+5,68%,180,31%,30/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Haven,0.62,145,11,16,4,-5,59%,95,42%,23/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Icebox,1.12,149,34,43,14,-9,65%,100,39%,23/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Lotus,1.16,194,15,13,7,+2,74%,135,47%,23/03/2025,15:00
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,DetonatioN FocusMe,0,2,Abyss,0.91,226,19,18,7,+1,70%,130,28%,01/02/2025,19:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,DetonatioN FocusMe,0,2,Pearl,1.12,161,24,32,11,-8,62%,102,27%,01/02/2025,19:10
Paper Rex vs. ZETA DIVISION,Champions Tour 2025: Pacific Kickoff,Main Event,win,Paper Rex,ZETA DIVISION,2,0,Lotus,1.04,156,10,9,8,+1,89%,104,26%,26/01/2025,18:00
Paper Rex vs. ZETA DIVISION,Champions Tour 2025: Pacific Kickoff,Main Event,win,Paper Rex,ZETA DIVISION,2,0,Fracture,1.14,168,23,22,19,+1,85%,111,28%,26/01/2025,18:00
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Bind,1.01,187,12,14,4,-2,53%,114,42%,20/01/2025,18:15
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Fracture,1.03,174,35,45,32,-10,66%,116,32%,20/01/2025,18:15
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Split,0.90,133,7,13,18,-6,76%,90,41%,20/01/2025,18:15
Team f0rsakeN vs. Team xccurate,Champions Tour 2024 Pacific: Ascension,Showmatch,loss,Team xccurate,Team f0rsakeN,0,1,Abyss,1.29,193,11,18,2,-7,53%,127,46%,29/09/2024,12:30
EDward Gaming vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,EDward Gaming,1,2,Icebox,1.09,228,14,12,6,+2,81%,151,29%,11/08/2024,17:15
EDward Gaming vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,EDward Gaming,1,2,Sunset,1.01,201,37,41,19,-4,74%,136,28%,11/08/2024,17:15
EDward Gaming vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,EDward Gaming,1,2,Lotus,1.35,272,18,15,10,+3,76%,172,25%,11/08/2024,17:15
FUT Esports vs. Paper Rex,Valorant Champions 2024,Group Stage,win,Paper Rex,FUT Esports,2,0,Sunset,1.15,230,22,18,6,+4,83%,150,34%,09/08/2024,17:25
FUT Esports vs. Paper Rex,Valorant Champions 2024,Group Stage,win,Paper Rex,FUT Esports,2,0,Bind,1.35,209,33,27,22,+6,84%,137,37%,09/08/2024,17:25
G2 Esports vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,G2 Esports,0,2,Icebox,1.14,258,20,15,8,+5,76%,143,33%,04/08/2024,15:00
G2 Esports vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,G2 Esports,0,2,Lotus,1.00,225,34,32,17,+2,77%,129,31%,04/08/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Abyss,0.77,168,11,14,8,-3,80%,102,38%,20/07/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Lotus,0.87,172,70,70,35,0,74%,108,33%,20/07/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Bind,1.08,172,13,13,12,0,87%,109,28%,20/07/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Icebox,0.87,150,13,15,2,-2,61%,92,24%,20/07/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Ascent,1.16,222,19,16,7,+3,74%,145,42%,20/07/2024,15:00
