-mindfreak +monyet,General Discussion,0,125,29/3/2024,23:32
Mindfreak haters,General Discussion,0,73,1/7/2024,18:43
Mindfreak owns Mako,General Discussion,0,71,22/5/2023,18:44
prx mindfreak is a fan of Andrew Tate,General Discussion,0,59,22/11/2022,17:57
-mindfreak -forsaken,General Discussion,0,59,15/4/2023,21:47
My POV on Why Mindfreak underperforms,General Discussion,0,54,25/7/2024,2:10
MINDFREAK IS SHIT,General Discussion,0,51,14/7/2024,21:33
mindfreak,General Discussion,0,46,15/4/2023,22:17
mindfreak > mako,General Discussion,0,39,28/11/2024,22:58
mindfreak & monyet,General Discussion,1,37,3/4/2024,21:51
mindfreak appreciation thread,General Discussion,2,31,25/7/2022,18:29
the mindfreak hate,General Discussion,6,31,10/6/2024,18:59
- Mindfreak +Primmie,General Discussion,0,30,10/6/2024,18:13
Kick mindfreak pls,General Discussion,3,29,15/4/2023,21:04
PRX MINDFREAK fraud,General Discussion,0,29,21/4/2024,20:57
Mindfreak is so overrated,General Discussion,18,29,3/6/2024,19:16
MINDFREAK LEFT PRX,General Discussion,0,29,11/10/2024,15:25
why is mindfreak using masters winner gun buddy?,General Discussion,0,28,7/4/2024,22:20
Who would you rather have. Mindfreak or Sscary?,General Discussion,1,27,24/10/2022,8:17
Kick mindfreak,General Discussion,0,27,8/4/2023,22:11
Mindfreak is highest rated player currently,General Discussion,12,27,11/8/2023,10:33
WAIT I JUST SAW NEILZINHO YELLING AT MINDFREAK,General Discussion,0,27,18/3/2024,20:42
prx mindfreak + jingg:),General Discussion,0,27,1/4/2025,14:30
mindfreak = apac marved,General Discussion,1,25,25/8/2023,8:26
Mindfreak,General Discussion,14,25,7/12/2023,22:59
Do we need mindfreak?,General Discussion,5,25,3/6/2024,20:41
Sugerz3ro,General Discussion,0,62,27/11/2022,17:05
why no mindfreak hate,General Discussion,0,25,20/8/2023,6:43
Mindfreak and f0rsaken,General Discussion,1,24,4/4/2023,13:43
