Paper Rex vs. Global Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,Global Esports,2,0,Split,1.27,257,18,12,2,+6,67%,164,15%,19/04/2025,15:00
Paper Rex vs. Global Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,Global Esports,2,0,Lotus,1.70,274,42,26,7,+16,73%,174,18%,19/04/2025,15:00
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Ascent,1.46,252,23,16,12,+7,79%,185,42%,14/04/2025,17:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Lotus,0.92,252,66,44,20,+22,81%,167,27%,14/04/2025,17:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Pearl,1.14,208,12,11,4,+1,75%,133,12%,14/04/2025,17:10
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Ascent,1.02,157,12,12,8,0,76%,115,22%,06/04/2025,15:00
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Fracture,1.13,217,50,43,26,+7,80%,152,29%,06/04/2025,15:00
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Pearl,1.73,342,27,15,10,+12,95%,239,34%,06/04/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Lotus,0.50,101,8,17,2,-9,48%,67,27%,30/03/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Fracture,0.58,191,37,46,22,-9,63%,112,25%,30/03/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Haven,1.67,316,20,13,15,+7,84%,182,25%,30/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Haven,1.04,164,13,11,11,+2,86%,113,29%,23/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Icebox,1.27,190,42,40,27,+2,75%,129,31%,23/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Lotus,1.24,238,19,15,8,+4,65%,156,25%,23/03/2025,15:00
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,DetonatioN FocusMe,0,2,Abyss,0.75,163,14,17,2,-3,70%,110,56%,01/02/2025,19:10
