Gen.G vs. Global Esports,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,Gen.G,0,2,Lotus,0.35,86,3,11,5,-8,58%,47,44%,05/07/2024,18:00
Gen.G vs. Global Esports,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,Gen.G,0,2,Ascent,0.81,102,8,19,8,-11,63%,73,55%,05/07/2024,18:00
Global Esports vs. T1,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,T1,1,2,Icebox,1.48,240,9,7,4,+2,91%,163,31%,30/06/2024,15:00
Global Esports vs. T1,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,T1,1,2,Lotus,0.94,156,18,24,13,-6,74%,111,23%,30/06/2024,15:00
Global Esports vs. T1,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,T1,1,2,Ascent,0.62,94,4,9,4,-5,67%,66,16%,30/06/2024,15:00
Global Esports vs. BLEED,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Global Esports,BLEED,2,0,Lotus,1.61,273,13,6,8,+7,100%,179,29%,23/06/2024,15:00
Global Esports vs. BLEED,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Global Esports,BLEED,2,0,Sunset,1.60,218,16,7,11,+9,95%,139,29%,23/06/2024,15:00
Team Secret vs. Global Esports,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,Team Secret,0,2,Sunset,0.71,139,7,11,1,-4,67%,95,42%,17/06/2024,17:35
Team Secret vs. Global Esports,Champions Tour 2024: Pacific Stage 2,Regular Season,loss,Global Esports,Team Secret,0,2,Ascent,0.88,131,11,20,3,-9,58%,101,34%,17/06/2024,17:35
Global Esports vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,DetonatioN FocusMe,2,1,Split,1.09,211,9,7,1,+2,75%,123,33%,27/04/2024,17:00
Global Esports vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,DetonatioN FocusMe,2,1,Lotus,0.94,154,20,21,4,-1,81%,105,28%,27/04/2024,17:00
Global Esports vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,DetonatioN FocusMe,2,1,Ascent,0.50,97,4,8,2,-4,92%,72,18%,27/04/2024,17:00
Global Esports vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,Paper Rex,0,2,Sunset,0.18,14,0,3,0,-3,40%,14,0%,23/04/2024,17:50
Global Esports vs. Paper Rex,Champions Tour 2024: Pacific Stage 1,Regular Season,loss,Global Esports,Paper Rex,0,2,Icebox,0.80,131,5,9,1,-4,69%,95,19%,23/04/2024,17:50
Global Esports vs. Rex Regum Qeon,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,Rex Regum Qeon,2,0,Lotus,1.06,194,9,6,0,+3,58%,137,50%,21/04/2024,15:00
Global Esports vs. Rex Regum Qeon,Champions Tour 2024: Pacific Stage 1,Regular Season,win,Global Esports,Rex Regum Qeon,2,0,Icebox,1.21,153,14,15,1,-1,54%,107,43%,21/04/2024,15:00
