Paper Rex vs. Global Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,Global Esports,2,0,Split,2.10,352,9,3,2,+6,83%,234,9%,19/04/2025,15:00
Paper Rex vs. Global Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,Global Esports,2,0,Lotus,1.13,340,21,10,4,+11,88%,198,14%,19/04/2025,15:00
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Ascent,0.95,192,8,11,4,-3,67%,120,29%,14/04/2025,17:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Lotus,1.81,208,29,27,6,+2,76%,129,20%,14/04/2025,17:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Pearl,0.36,107,6,6,0,0,75%,83,3%,14/04/2025,17:10
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Ascent,0.62,123,3,7,3,-4,67%,89,11%,06/04/2025,15:00
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Fracture,1.19,202,21,21,14,0,77%,137,27%,06/04/2025,15:00
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Pearl,1.94,367,13,7,7,+6,100%,260,33%,06/04/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Lotus,0.27,101,4,10,1,-6,33%,58,31%,30/03/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Fracture,1.15,142,11,20,11,-9,42%,80,24%,30/03/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Haven,1.29,231,5,5,9,0,71%,129,17%,30/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Haven,1.52,219,10,5,9,+5,92%,141,30%,23/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Icebox,0.91,202,22,16,19,+6,84%,135,28%,23/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Lotus,1.56,279,11,6,5,+5,73%,189,28%,23/03/2025,15:00
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,DetonatioN FocusMe,0,2,Abyss,0.50,133,6,10,0,-4,67%,91,54%,01/02/2025,19:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,DetonatioN FocusMe,0,2,Pearl,0.92,147,8,12,0,-4,71%,97,40%,01/02/2025,19:10
Paper Rex vs. ZETA DIVISION,Champions Tour 2025: Pacific Kickoff,Main Event,win,Paper Rex,ZETA DIVISION,2,0,Lotus,1.47,266,13,5,0,+8,67%,151,15%,26/01/2025,18:00
Paper Rex vs. ZETA DIVISION,Champions Tour 2025: Pacific Kickoff,Main Event,win,Paper Rex,ZETA DIVISION,2,0,Fracture,1.09,235,20,10,2,+10,71%,140,14%,26/01/2025,18:00
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Bind,0.65,191,4,6,3,-2,71%,124,5%,20/01/2025,18:15
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Fracture,1.16,216,21,21,8,0,82%,155,18%,20/01/2025,18:15
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Split,1.25,247,8,6,3,+2,78%,226,31%,20/01/2025,18:15
Xipto x Global Esports vs. Paper Rex x Spotlight Series,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,Xipto x Global Esports,3,0,Pearl,0.66,169,6,9,3,-3,75%,114,21%,22/12/2024,17:00
Xipto x Global Esports vs. Paper Rex x Spotlight Series,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,Xipto x Global Esports,3,0,Bind,1.48,233,27,27,8,0,77%,154,24%,22/12/2024,17:00
Xipto x Global Esports vs. Paper Rex x Spotlight Series,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,Xipto x Global Esports,3,0,Ascent,1.07,292,11,10,3,+1,83%,190,24%,22/12/2024,17:00
Paper Rex x Spotlight Series vs. ZETA DIVISION GC,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,ZETA DIVISION GC,2,0,Sunset,1.47,332,14,9,6,+5,92%,246,41%,21/12/2024,17:00
Paper Rex x Spotlight Series vs. ZETA DIVISION GC,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,ZETA DIVISION GC,2,0,Bind,0.99,288,16,11,7,+5,88%,210,32%,21/12/2024,17:00
Paper Rex x Spotlight Series vs. DRX Changers,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,DRX Changers,2,0,Sunset,1.46,219,11,6,3,+5,92%,151,45%,20/12/2024,17:00
Paper Rex x Spotlight Series vs. DRX Changers,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,DRX Changers,2,0,Ascent,1.25,270,23,13,5,+10,90%,173,41%,20/12/2024,17:00
Paper Rex x Spotlight Series vs. Xipto x Global Esports,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,loss,Paper Rex x Spotlight Series,Xipto x Global Esports,0,2,Split,1.88,338,16,6,4,+10,75%,224,33%,19/12/2024,17:00
Paper Rex x Spotlight Series vs. Xipto x Global Esports,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,loss,Paper Rex x Spotlight Series,Xipto x Global Esports,0,2,Ascent,0.46,289,17,9,4,+8,67%,188,29%,19/12/2024,17:00
EDward Gaming vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,EDward Gaming,1,2,Icebox,0.76,124,5,8,9,-3,75%,75,11%,11/08/2024,17:15
EDward Gaming vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,EDward Gaming,1,2,Sunset,1.09,134,11,21,10,-10,69%,86,12%,11/08/2024,17:15
EDward Gaming vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,EDward Gaming,1,2,Lotus,0.06,76,2,9,0,-7,44%,55,0%,11/08/2024,17:15
FUT Esports vs. Paper Rex,Valorant Champions 2024,Group Stage,win,Paper Rex,FUT Esports,2,0,Sunset,1.00,229,9,9,6,0,58%,161,16%,09/08/2024,17:25
FUT Esports vs. Paper Rex,Valorant Champions 2024,Group Stage,win,Paper Rex,FUT Esports,2,0,Bind,1.11,290,19,15,7,+4,74%,178,20%,09/08/2024,17:25
G2 Esports vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,G2 Esports,0,2,Icebox,1.09,183,6,6,4,0,78%,115,20%,04/08/2024,15:00
G2 Esports vs. Paper Rex,Valorant Champions 2024,Group Stage,loss,Paper Rex,G2 Esports,0,2,Lotus,1.06,131,8,18,6,-10,57%,95,16%,04/08/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Abyss,1.15,161,8,7,1,+1,75%,125,41%,20/07/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Lotus,0.96,181,33,42,9,-9,57%,119,20%,20/07/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Bind,1.63,404,16,7,1,+9,73%,250,22%,20/07/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Icebox,0.17,93,3,11,1,-8,42%,59,5%,20/07/2024,15:00
DRX vs. Paper Rex,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,DRX,2,3,Ascent,0.03,52,2,10,2,-8,45%,31,40%,20/07/2024,15:00
Paper Rex vs. TALON,Champions Tour 2024: Pacific Stage 2,Playoffs,win,Paper Rex,TALON,2,0,Ascent,1.19,217,3,2,3,+1,75%,128,6%,14/07/2024,18:15
Paper Rex vs. TALON,Champions Tour 2024: Pacific Stage 2,Playoffs,win,Paper Rex,TALON,2,0,Sunset,1.06,303,18,9,7,+9,81%,186,15%,14/07/2024,18:15
Paper Rex vs. Gen.G,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,Gen.G,0,2,Ascent,1.33,298,12,10,1,+2,67%,177,31%,13/07/2024,15:00
Paper Rex vs. Gen.G,Champions Tour 2024: Pacific Stage 2,Playoffs,loss,Paper Rex,Gen.G,0,2,Icebox,0.37,279,22,19,4,+3,63%,165,31%,13/07/2024,15:00
Paper Rex vs. ZETA DIVISION,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,ZETA DIVISION,2,1,Ascent,1.27,295,13,10,4,+3,75%,188,20%,07/07/2024,18:00
Paper Rex vs. ZETA DIVISION,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,ZETA DIVISION,2,1,Lotus,0.74,323,33,17,11,+16,83%,194,23%,07/07/2024,18:00
Paper Rex vs. ZETA DIVISION,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,ZETA DIVISION,2,1,Sunset,1.58,292,12,5,4,+7,83%,162,32%,07/07/2024,18:00
Paper Rex vs. Rex Regum Qeon,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,Rex Regum Qeon,2,1,Lotus,1.58,313,9,6,4,+3,88%,193,13%,05/07/2024,15:00
Paper Rex vs. Rex Regum Qeon,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,Rex Regum Qeon,2,1,Ascent,1.08,197,21,27,12,-6,75%,138,19%,05/07/2024,15:00
Paper Rex vs. Rex Regum Qeon,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,Rex Regum Qeon,2,1,Sunset,0.72,217,9,13,5,-4,67%,163,28%,05/07/2024,15:00
Paper Rex vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,DetonatioN FocusMe,2,0,Icebox,1.03,163,7,6,3,+1,83%,103,47%,01/07/2024,15:00
Paper Rex vs. DetonatioN FocusMe,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,DetonatioN FocusMe,2,0,Sunset,1.59,158,11,11,4,0,76%,103,29%,01/07/2024,15:00
Paper Rex vs. DRX,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,DRX,2,1,Split,1.26,273,12,8,1,+4,83%,169,17%,22/06/2024,18:50
Paper Rex vs. DRX,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,DRX,2,1,Haven,0.63,259,34,22,10,+12,81%,164,31%,22/06/2024,18:50
Paper Rex vs. DRX,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,DRX,2,1,Icebox,1.21,286,13,8,2,+5,75%,181,33%,22/06/2024,18:50
Paper Rex vs. TALON,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,TALON,2,0,Icebox,1.43,189,9,4,7,+5,75%,116,17%,16/06/2024,18:30
Paper Rex vs. TALON,Champions Tour 2024: Pacific Stage 2,Regular Season,win,Paper Rex,TALON,2,0,Sunset,1.43,187,17,13,10,+4,71%,127,18%,16/06/2024,18:30
