Paper Rex vs. Global Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,Global Esports,2,0,Split,1.34,300,13,10,5,+3,75%,185,23%,19/04/2025,15:00
Paper Rex vs. Global Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,Global Esports,2,0,Lotus,1.36,284,25,15,7,+10,88%,170,28%,19/04/2025,15:00
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Ascent,1.01,219,10,8,3,+2,83%,145,27%,14/04/2025,17:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Lotus,0.79,214,31,24,13,+7,76%,135,31%,14/04/2025,17:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,win,Paper Rex,DetonatioN FocusMe,2,1,Pearl,1.64,271,13,5,7,+8,92%,166,41%,14/04/2025,17:10
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Ascent,1.37,300,13,8,7,+5,100%,178,31%,06/04/2025,15:00
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Fracture,1.05,242,31,24,16,+7,91%,157,31%,06/04/2025,15:00
Paper Rex vs. BOOM Esports,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,BOOM Esports,1,2,Pearl,1.17,233,10,9,6,+1,83%,158,28%,06/04/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Lotus,1.67,322,12,7,1,+5,73%,219,27%,30/03/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Fracture,1.11,248,29,26,7,+3,74%,174,27%,30/03/2025,15:00
Gen.G vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,Gen.G,1,2,Haven,0.98,207,9,9,4,0,75%,147,38%,30/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Haven,1.08,234,8,8,0,0,50%,143,33%,23/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Icebox,0.90,194,22,30,4,-8,50%,130,36%,23/03/2025,15:00
DRX vs. Paper Rex,Champions Tour 2025: Pacific Stage 1,Group Stage,loss,Paper Rex,DRX,1,2,Lotus,0.79,231,9,11,3,-2,50%,156,48%,23/03/2025,15:00
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,DetonatioN FocusMe,0,2,Abyss,1.69,328,12,7,3,+5,73%,225,36%,01/02/2025,19:10
DetonatioN FocusMe vs. Paper Rex,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,DetonatioN FocusMe,0,2,Pearl,1.07,259,20,19,4,+1,65%,183,27%,01/02/2025,19:10
Paper Rex vs. ZETA DIVISION,Champions Tour 2025: Pacific Kickoff,Main Event,win,Paper Rex,ZETA DIVISION,2,0,Lotus,1.21,185,5,3,1,+2,67%,125,60%,26/01/2025,18:00
Paper Rex vs. ZETA DIVISION,Champions Tour 2025: Pacific Kickoff,Main Event,win,Paper Rex,ZETA DIVISION,2,0,Fracture,1.32,301,20,11,11,+9,83%,189,59%,26/01/2025,18:00
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Bind,0.75,128,5,10,6,-5,58%,75,25%,20/01/2025,18:15
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Fracture,1.03,158,18,29,16,-11,67%,109,19%,20/01/2025,18:15
Paper Rex vs. T1,Champions Tour 2025: Pacific Kickoff,Main Event,loss,Paper Rex,T1,1,2,Split,1.03,198,7,8,5,-1,75%,142,23%,20/01/2025,18:15
Xipto x Global Esports vs. Paper Rex x Spotlight Series,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,Xipto x Global Esports,3,0,Pearl,0.70,162,7,10,4,-3,67%,95,56%,22/12/2024,17:00
Xipto x Global Esports vs. Paper Rex x Spotlight Series,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,Xipto x Global Esports,3,0,Bind,0.90,208,26,22,11,+4,73%,134,35%,22/12/2024,17:00
Xipto x Global Esports vs. Paper Rex x Spotlight Series,VCT OFF//SEASON Spotlight Series 2024: Pacific,Main Event,win,Paper Rex x Spotlight Series,Xipto x Global Esports,3,0,Ascent,1.81,330,12,3,6,+9,89%,197,45%,22/12/2024,17:00
