forsaken or chronicle?,Off Topic,-32,103,"May 13, 2024 at 11:31 PM AEST"
Forsaken express interest to join FNATIC/M3C,General Discussion,8,96,"July 6, 2022 at 11:22 PM AEST"
Forsaken is mad on Monyet?,General Discussion,9,89,"March 24, 2024 at 5:33 AM AEDT"
Indonesia doesn't support Forsaken,General Discussion,0,80,"July 18, 2022 at 3:16 AM AEST"
DRX need forsaken,General Discussion,0,74,"April 19, 2022 at 7:51 AM AEST"
-mindfreak -forsaken,General Discussion,0,59,"April 15, 2023 at 9:47 PM AEST"
"forsaken destroying optic, not the first time.",General Discussion,135,56,"July 23, 2022 at 1:50 AM AEST"
tenz vs forsaken,General Discussion,4,46,"December 1, 2023 at 6:10 PM AEDT"
FORSAKEN,General Discussion,0,45,"July 25, 2022 at 5:41 AM AEST"
forsaken,General Discussion,0,42,"March 19, 2022 at 5:42 PM AEDT"
Forsaken = Faker,General Discussion,0,42,"March 13, 2024 at 12:20 PM AEDT"
Forsaken is overrated,General Discussion,16,40,"May 15, 2024 at 12:39 AM AEST"
BLEED offered 2.6 M to forsaken,General Discussion,4,38,"July 23, 2022 at 8:28 PM AEST"
forsaken breach,General Discussion,2,38,"May 4, 2024 at 9:25 PM AEST"
GENG FORSAKEN,General Discussion,1,35,"August 12, 2024 at 1:08 PM AEST"
Forsaken,General Discussion,0,34,"August 22, 2023 at 7:14 PM AEST"
if forsaken and jingg leaves from prx,General Discussion,3,33,"January 5, 2023 at 10:20 PM AEDT"
Forsaken tolol anying,General Discussion,0,31,"June 24, 2023 at 1:22 PM AEST"
OpTic forsaken,General Discussion,13,29,"July 20, 2022 at 2:40 AM AEST"
Goat debate (aspas vs forsaken),General Discussion,0,29,"May 3, 2024 at 10:23 PM AEST"
free forsaken,General Discussion,0,29,"August 12, 2024 at 5:28 AM AEST"
Forsaken going to EU/NA next year,General Discussion,0,28,"July 15, 2022 at 1:55 AM AEST"
Forsaken overrated,General Discussion,0,28,"May 13, 2024 at 11:16 AM AEST"
forsaken and benkai's wish resolved,General Discussion,1,28,"July 15, 2022 at 3:20 AM AEST"
Prelude to chaos vs Forsaken Vandal,General Discussion,0,27,"September 7, 2023 at 6:12 PM AEST"
FORSAKEN GOAT FLEX,General Discussion,19,27,"August 11, 2024 at 9:50 PM AEST"
FORSAKEN HAS 67% HS,General Discussion,6,26,"July 23, 2022 at 1:59 AM AEST"
Jinggg&Forsaken > aspas&garbage1,General Discussion,0,26,"August 18, 2023 at 10:34 PM AEST"
Forsaken face,General Discussion,0,25,"April 23, 2024 at 10:09 PM AEST"
forsaken went -22 ?,General Discussion,2,25,"May 31, 2024 at 8:43 PM AEST"
why is forsaken not in jett,General Discussion,0,24,"October 13, 2021 at 1:04 AM AEDT"
Optic Ind Forsaken will be Back,Off Topic,0,24,"March 29, 2023 at 12:45 AM AEDT"
Forsaken and d4v4i,General Discussion,0,24,"April 2, 2023 at 7:53 PM AEST"
Forsaken Vandal,General Discussion,0,23,"August 1, 2022 at 6:14 PM AEST"
Forsaken gonna be the first Valorant GOAT,General Discussion,0,22,"June 24, 2023 at 6:04 PM AEST"
Forsaken how,General Discussion,2,22,"May 2, 2024 at 2:59 PM AEST"
Forsaken got kennyS approval,Off Topic,11,21,"June 28, 2022 at 12:45 AM AEST"
DRX Forsaken,General Discussion,0,21,"September 14, 2022 at 2:22 AM AEST"
Rossi New FORSAKEN???,General Discussion,1,21,"April 30, 2023 at 7:57 PM AEST"
"fns?boaster?boostio?nobody,forsaken?",General Discussion,0,21,"January 26, 2025 at 3:07 AM AEDT"
Forsaken duelist,General Discussion,1,21,"March 23, 2025 at 11:46 PM AEDT"
PRX forsaken best Jett in the world ?,General Discussion,0,20,"February 23, 2022 at 6:54 AM AEDT"
Forsaken top 10?,General Discussion,6,20,"March 18, 2024 at 7:04 AM AEDT"
why are everyone calling forsaken bad now??,General Discussion,0,20,"May 13, 2024 at 12:05 PM AEST"
Forsaken > Yay?,General Discussion,12,19,"July 23, 2022 at 1:47 AM AEST"
Forsaken Killjoy,General Discussion,0,19,"April 8, 2023 at 11:10 PM AEST"
subroza: skrossi is forsaken word.exe lan banned?,Off Topic,2,18,"July 19, 2021 at 3:25 PM AEST"
Take on forsaken!,General Discussion,0,18,"May 28, 2023 at 8:41 PM AEST"
Forsaken did more for the India than Skrossi,General Discussion,11,18,"August 26, 2023 at 2:45 PM AEST"
Why is forsaken in GOAT debate?,General Discussion,0,18,"August 20, 2024 at 2:03 PM AEST"
Tenz and forsaken,General Discussion,5,18,"February 28, 2025 at 5:45 AM AEDT"
"Drop your phantom and Vandal skin, Ill rate it.",Off Topic,1,314,"October 25, 2024 at 3:13 PM AEDT"
Forsaken playing with Something Come watch,General Discussion,1,17,"March 8, 2023 at 1:43 AM AEDT"
Forsaken DOGSHIT,General Discussion,0,16,"July 17, 2022 at 11:53 PM AEST"
Zekken and cryo > jing and forsaken,General Discussion,0,16,"September 3, 2022 at 11:21 PM AEST"
Who is forsaken’s worst agent,General Discussion,1,16,"April 28, 2024 at 5:42 PM AEST"
Sen Forsaken,General Discussion,0,16,"May 5, 2024 at 2:22 AM AEST"
JINGG > FORSAKEN,General Discussion,0,16,"July 25, 2022 at 2:33 AM AEST"
PRX (APAC) - Forsaken,General Discussion,0,15,"March 30, 2022 at 7:19 AM AEDT"
Forsaken owns S1mple,General Discussion,0,15,"June 13, 2022 at 12:27 AM AEST"
Forsaken real prodigy of Valorant?,General Discussion,0,15,"August 11, 2023 at 12:51 PM AEST"
DRX Forsaken??????,General Discussion,0,15,"September 14, 2022 at 12:32 AM AEST"
the future of PRX,General Discussion,7,94,"March 8, 2023 at 2:16 AM AEDT"
All-VCT Team Voting,General Discussion,2,87,"August 26, 2023 at 3:48 PM AEST"
Choose your skin,Off Topic,-2,43,"March 11, 2024 at 4:04 PM AEDT"
GIVE ME FORSAKEN PLEASE,General Discussion,0,14,"November 23, 2022 at 9:56 PM AEDT"
Forsaken the most valuable player to have in any t,General Discussion,0,14,"May 13, 2023 at 3:09 AM AEST"
forsaken > botster,General Discussion,0,14,"July 19, 2023 at 2:34 AM AEST"
forsaken raze,General Discussion,0,14,"March 22, 2024 at 2:53 AM AEDT"
TEKKEN > Forsaken + Jingg,General Discussion,1,13,"March 3, 2024 at 1:18 PM AEDT"
if PRX disband,General Discussion,0,98,"April 17, 2024 at 4:37 AM AEST"
forsaken is horrible,General Discussion,9,12,"July 20, 2022 at 2:28 AM AEST"
Forsaken would be top 5,General Discussion,7,12,"June 24, 2023 at 1:40 PM AEST"
Forsaken appreciation,General Discussion,9,12,"March 16, 2024 at 4:51 AM AEDT"
forsaken wtf,General Discussion,0,12,"June 1, 2024 at 9:42 PM AEST"
