farewell jinggg thread,General Discussion,280,255,"August 27, 2023 at 9:31 AM AEST"
Jinggg replacement,General Discussion,0,76,"August 20, 2023 at 3:45 PM AEST"
prx would be as bad with jinggg,General Discussion,0,64,"March 24, 2024 at 5:17 AM AEDT"
life after jinggg,General Discussion,1,58,"August 18, 2023 at 8:25 PM AEST"
Jinggg Replacement for Next Year,General Discussion,0,53,"August 23, 2023 at 5:39 AM AEST"
Jinggg doubters come,General Discussion,0,51,"April 13, 2024 at 5:47 PM AEST"
LIST OF JINGGG BELIEVERS,General Discussion,0,50,"March 30, 2024 at 3:50 AM AEDT"
STOP JINGGG HATE,General Discussion,6,49,"July 20, 2024 at 11:01 PM AEST"
PRX solution for Jinggg military service next year,General Discussion,6,48,"May 29, 2023 at 2:16 PM AEST"
Jinggg IS 20???,General Discussion,1,48,"July 29, 2023 at 12:16 PM AEST"
Jinggg Military Service,General Discussion,0,47,"June 26, 2023 at 4:55 PM AEST"
Jinggg is learning to play Cypher,General Discussion,5,47,"November 1, 2024 at 3:27 PM AEDT"
Jinggg vs Alfajer,General Discussion,3,45,"July 7, 2022 at 8:37 AM AEST"
what does jinggg bring to the table,General Discussion,0,43,"November 25, 2024 at 2:19 AM AEDT"
Honest Jinggg opinion,General Discussion,8,42,"July 13, 2024 at 7:59 PM AEST"
jinggg vs tenZ,General Discussion,0,42,"August 9, 2024 at 4:11 PM AEST"
Can EDG win against PRX (with Jinggg)?,General Discussion,0,41,"May 30, 2024 at 9:54 AM AEST"
+Jinggg,General Discussion,3,38,"July 15, 2022 at 1:49 AM AEST"
Is jinggg’s mom dating PRX coach?,General Discussion,0,38,"April 4, 2024 at 7:53 AM AEDT"
Jinggg cope,General Discussion,8,37,"March 24, 2024 at 5:30 AM AEDT"
Jinggg haters come,General Discussion,4,37,"June 4, 2024 at 10:47 AM AEST"
Jinggg,General Discussion,0,36,"June 1, 2024 at 1:10 PM AEST"
Jinggg>Something AND ITS NOT CLOSE,General Discussion,0,36,"March 7, 2025 at 10:03 AM AEDT"
JINGGG MOM,General Discussion,1,36,"April 18, 2024 at 1:07 AM AEST"
Jinggg successor on prx,General Discussion,0,35,"August 25, 2023 at 4:33 PM AEST"
PRX without Jinggg,General Discussion,0,33,"June 24, 2023 at 2:57 PM AEST"
jinggg hate,General Discussion,0,33,"June 1, 2024 at 4:07 AM AEST"
Regarding all the slander on Jinggg recently,General Discussion,0,33,"July 28, 2024 at 2:55 PM AEST"
Who should replace Jinggg after champs,General Discussion,6,32,"August 18, 2023 at 11:31 PM AEST"
Jinggg or F0rsaken,General Discussion,2,30,"November 23, 2022 at 7:59 PM AEDT"
Jinggg mom is half indo?,General Discussion,0,30,"May 14, 2023 at 2:25 AM AEST"
why do ppl hate jinggg,General Discussion,0,30,"September 25, 2024 at 10:43 PM AEST"
jinggg haters,General Discussion,0,30,"December 23, 2024 at 3:14 AM AEDT"
Jinggg Fix,General Discussion,0,29,"April 21, 2024 at 10:53 PM AEST"
PRX Jinggg Smoke,General Discussion,0,29,"March 3, 2025 at 11:48 PM AEDT"
This prx> prx with jinggg,General Discussion,0,28,"February 19, 2024 at 7:33 PM AEDT"
Unwarrented Jinggg hate,General Discussion,0,28,"July 14, 2024 at 1:03 AM AEST"
I wonder WHY PRX KEEPS JINGGG?,General Discussion,0,28,"November 21, 2024 at 10:52 PM AEDT"
"Alfajer > f0rsaken, Jinggg ?",General Discussion,0,27,"June 29, 2022 at 10:07 PM AEST"
kinda disappointed with jinggg this time.,General Discussion,7,27,"July 20, 2024 at 10:49 PM AEST"
Jinggg Neon,General Discussion,1,27,"August 4, 2024 at 7:23 PM AEST"
Jinggg vs Primmie,General Discussion,0,27,"December 2, 2024 at 4:14 PM AEDT"
Jinggg vs Aspas INSANE!!!!!!,General Discussion,4,26,"April 17, 2022 at 3:29 PM AEST"
