-mindfreak +monyet,General Discussion,0,125,"March 29, 2024 at 11:32 PM AEDT"
Mindfreak haters,General Discussion,0,73,"July 1, 2024 at 6:43 PM AEST"
Mindfreak owns Mako,General Discussion,0,71,"May 22, 2023 at 6:44 PM AEST"
prx mindfreak is a fan of Andrew Tate,General Discussion,0,59,"November 22, 2022 at 5:57 PM AEDT"
-mindfreak -forsaken,General Discussion,0,59,"April 15, 2023 at 9:47 PM AEST"
My POV on Why Mindfreak underperforms,General Discussion,0,54,"July 25, 2024 at 2:10 AM AEST"
MINDFREAK IS SHIT,General Discussion,0,51,"July 14, 2024 at 9:33 PM AEST"
mindfreak,General Discussion,0,46,"April 15, 2023 at 10:17 PM AEST"
mindfreak > mako,General Discussion,0,39,"November 28, 2024 at 10:58 PM AEDT"
mindfreak & monyet,General Discussion,1,37,"April 3, 2024 at 9:51 PM AEDT"
mindfreak appreciation thread,General Discussion,2,31,"July 25, 2022 at 6:29 PM AEST"
the mindfreak hate,General Discussion,6,31,"June 10, 2024 at 6:59 PM AEST"
- Mindfreak +Primmie,General Discussion,0,30,"June 10, 2024 at 6:13 PM AEST"
Kick mindfreak pls,General Discussion,3,29,"April 15, 2023 at 9:04 PM AEST"
PRX MINDFREAK fraud,General Discussion,0,29,"April 21, 2024 at 8:57 PM AEST"
Mindfreak is so overrated,General Discussion,18,29,"June 3, 2024 at 7:16 PM AEST"
MINDFREAK LEFT PRX,General Discussion,0,29,"October 11, 2024 at 3:25 PM AEDT"
why is mindfreak using masters winner gun buddy?,General Discussion,0,28,"April 7, 2024 at 10:20 PM AEST"
Who would you rather have. Mindfreak or Sscary?,General Discussion,1,27,"October 24, 2022 at 8:17 AM AEDT"
Kick mindfreak,General Discussion,0,27,"April 8, 2023 at 10:11 PM AEST"
Mindfreak is highest rated player currently,General Discussion,12,27,"August 11, 2023 at 10:33 AM AEST"
WAIT I JUST SAW NEILZINHO YELLING AT MINDFREAK,General Discussion,0,27,"March 18, 2024 at 8:42 PM AEDT"
prx mindfreak + jingg:),General Discussion,0,27,"April 1, 2025 at 2:30 PM AEDT"
mindfreak = apac marved,General Discussion,1,25,"August 25, 2023 at 8:26 AM AEST"
Mindfreak,General Discussion,14,25,"December 7, 2023 at 10:59 PM AEDT"
Do we need mindfreak?,General Discussion,5,25,"June 3, 2024 at 8:41 PM AEST"
Sugerz3ro,General Discussion,0,62,"November 27, 2022 at 5:05 PM AEDT"
why no mindfreak hate,General Discussion,0,25,"August 20, 2023 at 6:43 AM AEST"
Mindfreak and f0rsaken,General Discussion,1,24,"April 4, 2023 at 1:43 PM AEST"
mindfreak >> marved,General Discussion,0,23,"August 25, 2022 at 9:15 AM AEST"
MINDFREAK,General Discussion,6,23,"September 1, 2022 at 12:50 AM AEST"
Karon or Mindfreak,General Discussion,0,23,"July 2, 2024 at 7:46 PM AEST"
RRQ Mindfreak (PRX),General Discussion,0,23,"March 4, 2025 at 12:41 AM AEDT"
Mindfreak looks unconfortable on the harbor :(,General Discussion,0,23,"November 20, 2022 at 10:06 PM AEDT"
Mindfreak top 5 controller itw?,General Discussion,1,23,"March 26, 2023 at 10:27 PM AEDT"
Franchising Fraudlist,General Discussion,42,515,"February 14, 2023 at 4:40 PM AEDT"
mindfreak appreciation post,General Discussion,2,21,"July 15, 2022 at 1:52 AM AEST"
DROP MINDFREAK,General Discussion,0,21,"March 30, 2024 at 1:40 AM AEDT"
Mindfreak respect,General Discussion,9,20,"August 25, 2023 at 8:21 AM AEST"
Rank these Omens,General Discussion,0,63,"July 7, 2024 at 8:17 PM AEST"
PRX something(mindfreak's Streaming Chat),General Discussion,0,19,"March 4, 2023 at 4:54 PM AEDT"
Most overrated pro player,General Discussion,0,68,"March 14, 2025 at 7:27 PM AEDT"
mindfreak smokes >>>>>>>>>>>>>>>>>> mindfreak kj,General Discussion,0,18,"December 7, 2023 at 9:13 PM AEDT"
Monyet or mindfreak?,General Discussion,1,18,"March 30, 2024 at 12:21 AM AEDT"
Monyet > mindfreak,General Discussion,0,18,"July 5, 2024 at 8:45 PM AEST"
poor mindfreak,General Discussion,5,18,"August 11, 2023 at 2:45 PM AEST"
Mindfreak fraud,General Discussion,0,18,"May 12, 2024 at 8:45 PM AEST"
monyet is not better than mindfreak,General Discussion,0,17,"September 10, 2023 at 11:24 PM AEST"
REGIONAL fans thought on PRX Mindfreak,General Discussion,0,17,"July 22, 2024 at 2:42 PM AEST"
Monyet,General Discussion,0,57,"May 12, 2024 at 9:29 PM AEST"
prx player ranking,General Discussion,5,45,"November 25, 2024 at 7:07 AM AEDT"
tf happened to mindfreak??,General Discussion,0,16,"April 2, 2023 at 10:16 PM AEST"
Mindfreak ass slap form,General Discussion,11,16,"August 21, 2023 at 7:31 PM AEST"
Mindfreak hatred,General Discussion,0,15,"November 15, 2022 at 4:13 AM AEDT"
Mindfreak talking about demon1?,General Discussion,1,15,"August 25, 2023 at 2:06 PM AEST"
SEN Mindfreak,General Discussion,0,14,"October 6, 2022 at 2:57 AM AEDT"
Marved vs Monyet vs Mako vs Mindfreak,General Discussion,6,14,"April 27, 2023 at 11:01 PM AEST"
Mindfreak over Mako??,General Discussion,0,14,"May 28, 2023 at 7:46 PM AEST"
d4v41 and mindfreak,General Discussion,0,14,"February 19, 2024 at 5:26 PM AEDT"
mindfreak boaster cosplay,General Discussion,0,14,"May 12, 2024 at 8:58 PM AEST"
mindfreak go to brazil,General Discussion,5,13,"July 19, 2022 at 6:35 PM AEST"
c0m and mindfreak,General Discussion,2,13,"August 25, 2023 at 8:36 AM AEST"
Is mindfreak = marved ?,General Discussion,0,13,"May 31, 2024 at 6:50 PM AEST"
S0m Vs mindfreak,General Discussion,0,12,"August 14, 2023 at 4:43 PM AEST"
mindfreak trynna pull an Acegamer30,General Discussion,0,12,"March 22, 2024 at 2:38 AM AEDT"
Mindfreak is the problem,General Discussion,0,12,"July 20, 2024 at 11:05 PM AEST"
Top 3 controllers,General Discussion,0,62,"November 11, 2022 at 3:14 PM AEDT"
Monyet replacing mindfreak,General Discussion,0,11,"September 17, 2023 at 12:36 PM AEST"
mindfreak duelist,General Discussion,0,11,"November 13, 2023 at 4:30 PM AEDT"
Mindfreak to RRQ,General Discussion,0,11,"March 31, 2024 at 12:01 PM AEDT"
mindfreak haters come,General Discussion,0,11,"May 28, 2023 at 9:23 PM AEST"
All-VCT Team Voting,General Discussion,2,87,"August 26, 2023 at 3:48 PM AEST"
PRX NEED MORE AIM POWERS,General Discussion,0,56,"September 10, 2023 at 10:59 PM AEST"
Heretics coach taunting Mindfreak post-map 2,General Discussion,2,11,"March 18, 2024 at 7:56 AM AEDT"
APAC goat controller,General Discussion,0,62,"November 26, 2024 at 1:46 AM AEDT"
Sources: Mindfreak set to release roster,General Discussion,0,10,"June 3, 2022 at 9:37 PM AEST"
Mindfreak>marved,General Discussion,0,10,"July 18, 2022 at 1:45 AM AEST"
Copenhagen Mindfreak,General Discussion,10,10,"June 17, 2023 at 4:31 PM AEST"
Mindfreak come,General Discussion,0,10,"June 21, 2023 at 6:48 PM AEST"
Mindfreak vs Mako,General Discussion,0,10,"March 23, 2025 at 8:16 PM AEDT"
What a clutch from PRX Mindfreak,General Discussion,0,10,"September 2, 2022 at 8:39 PM AEST"
APAC fans come,General Discussion,0,98,"November 2, 2022 at 11:22 PM AEDT"
the future of PRX,General Discussion,7,94,"March 8, 2023 at 2:16 AM AEDT"
Mindfreak TopG,General Discussion,0,10,"August 27, 2023 at 4:37 AM AEST"
holy FUCK mindfreak,General Discussion,2,9,"April 13, 2024 at 8:16 PM AEST"
Mindfreak viper,General Discussion,0,9,"May 17, 2024 at 1:52 PM AEST"
BOOM f0rsakeN & Mindfreak,General Discussion,4,9,"August 7, 2022 at 10:11 PM AEST"
Indonesian come,General Discussion,0,11,"September 2, 2022 at 2:09 AM AEST"
Whats up with M controllers popping off,General Discussion,0,26,"April 3, 2023 at 9:19 PM AEST"
APAC Superteam?,General Discussion,0,73,"August 24, 2023 at 11:32 AM AEST"
Monyet and PRX,General Discussion,0,56,"September 5, 2023 at 7:08 AM AEST"
COME WATCH MINDFREAK RAZE RN,General Discussion,0,9,"November 12, 2023 at 10:21 PM AEDT"
if PRX disband,General Discussion,0,98,"April 17, 2024 at 4:37 AM AEST"
PRX fix,General Discussion,0,46,"April 27, 2024 at 11:35 PM AEST"
best controller?,General Discussion,0,61,"October 6, 2024 at 4:04 PM AEDT"
BENKAI & MINDFREAK DUO WALKOUT,General Discussion,0,8,"July 17, 2022 at 11:58 PM AEST"
mindfreak prx captain,General Discussion,1,8,"March 20, 2024 at 6:29 AM AEDT"
Forsaken express interest to join FNATIC/M3C,General Discussion,8,96,"July 6, 2022 at 11:22 PM AEST"
PRX,General Discussion,0,15,"October 3, 2022 at 11:08 PM AEDT"
thoughts on mindfreak harbor?,General Discussion,0,8,"November 19, 2022 at 6:05 PM AEDT"
most improved player this year?,General Discussion,0,106,"December 29, 2022 at 8:54 AM AEDT"
All-Mid Starting 5,General Discussion,0,56,"August 17, 2023 at 2:09 PM AEST"
GAME MANAGERS,General Discussion,3,41,"February 27, 2024 at 8:41 AM AEDT"
Prx > NRG,General Discussion,2,71,"May 1, 2024 at 3:58 AM AEST"
Valorant players with peak aura from every region,General Discussion,4,39,"July 6, 2024 at 12:54 PM AEST"
If PRX get grouped..,General Discussion,0,57,"July 22, 2024 at 1:57 PM AEST"
Mindfreak ? Sscary,General Discussion,0,7,"July 10, 2023 at 1:10 AM AEST"
Mindfreak face look like a capybara,General Discussion,0,7,"March 23, 2024 at 5:10 AM AEDT"
Mindfreak inconsistent,General Discussion,0,7,"April 21, 2024 at 9:25 PM AEST"
-Mindfreak +Demon1,General Discussion,0,7,"June 3, 2024 at 8:19 PM AEST"
termi diffing mindfreak,General Discussion,0,7,"June 24, 2024 at 4:13 AM AEST"
mindfreak > atakaptan,General Discussion,0,7,"August 9, 2024 at 10:58 PM AEST"
OpTic anime arc,General Discussion,6,17,"July 13, 2022 at 1:21 AM AEST"
"Name ""M"" for the best controller",General Discussion,4,33,"July 18, 2022 at 3:42 AM AEST"
how to beat paper rex,General Discussion,0,92,"July 18, 2022 at 12:41 PM AEST"
Mindfreak = certified clutch master,General Discussion,0,7,"July 25, 2022 at 4:22 AM AEST"
Indonesian come (ID superteam),General Discussion,0,39,"August 2, 2022 at 8:31 PM AEST"
Banger,General Discussion,2,21,"September 5, 2022 at 9:49 AM AEST"
Liquid vs prx,General Discussion,1,28,"September 5, 2022 at 2:16 PM AEST"
Paper new roster 2023 ?,General Discussion,0,19,"September 19, 2022 at 9:39 PM AEST"
PRX vs GE,General Discussion,0,45,"November 19, 2022 at 2:26 AM AEDT"
