Benkai tweet,General Discussion,4,72,18/6/2024,1:07
BENKAI RETIRED,General Discussion,0,42,1/5/2023,22:16
GE BENKAI,General Discussion,19,37,16/9/2023,19:37
Bye benkai,General Discussion,20,34,28/6/2023,23:07
BENKAI IS LFT,General Discussion,6,33,31/8/2023,14:20
-benkai +something,General Discussion,3,32,6/4/2023,12:06
GE Benkai,General Discussion,0,30,31/8/2023,15:10
Free Benkai,General Discussion,0,29,15/12/2023,1:57
Benkai wtff,General Discussion,0,27,20/7/2022,12:07
forsaken and benkai's wish resolved,General Discussion,1,28,15/7/2022,3:20
Benkai was better,General Discussion,1,27,24/3/2024,6:51
benkai situation,General Discussion,10,26,18/6/2024,10:23
Benkai leaks the detail of 2023 prx roster,General Discussion,20,25,4/10/2022,1:11
Looking back at the Monyet for Benkai trade,General Discussion,0,25,10/7/2024,4:40
Benkai,General Discussion,2,24,1/9/2022,12:19
Benkai Dart,General Discussion,3,24,20/11/2022,21:52
Benkai,General Discussion,0,23,5/3/2023,12:20
"Benkai should have played, crgs -31",General Discussion,0,23,24/6/2023,18:16
Predict benkai's next costume (entry),General Discussion,2,22,20/4/2022,23:31
Benkai don't know english?,General Discussion,0,21,14/10/2021,20:31
BENKAI RETRING?!?!?!!,General Discussion,1,21,18/4/2022,18:59
BENKAI BENKAI,General Discussion,3,20,17/4/2022,8:28
Benkai,General Discussion,3,20,17/6/2024,22:22
Sry but Benkai...,General Discussion,0,19,14/10/2021,19:48
GE Benkai,General Discussion,0,19,16/9/2023,20:11
"Overrated, Underrated, Perfectly Rated 3",General Discussion,0,32,12/2/2023,23:25
Benkai Appreciation thread,General Discussion,0,17,19/11/2022,6:35
Benkai,General Discussion,3,17,17/6/2023,15:22
Benkai,General Discussion,0,17,26/8/2023,1:11
BLEED BENKAI,General Discussion,0,17,31/8/2023,14:26
Benkai,General Discussion,0,16,2/4/2023,19:51
Benkai Chad,General Discussion,14,15,9/9/2021,23:57
Benkai and Boaster stage walkout,Off Topic,1,15,3/7/2022,16:31
you will be missed Benkai,General Discussion,0,15,29/6/2023,8:25
Benkai and Blazeking,General Discussion,3,15,1/7/2024,5:19
the future of PRX,General Discussion,7,94,8/3/2023,2:16
BENKAI,General Discussion,0,14,25/7/2022,1:16
"DUDE, BENKAI",General Discussion,3,14,10/9/2022,2:49
Excited for Benkai,General Discussion,0,14,14/2/2023,18:13
why benkai benched?,General Discussion,0,14,6/5/2023,21:59
"Cgrs >> Benkai, ok",General Discussion,1,14,24/6/2023,18:11
SkillZ Replacing Benkai,General Discussion,0,14,6/12/2023,20:12
What if benkai stayed on prx?,General Discussion,0,14,24/3/2024,5:59
benkai from paper rez,General Discussion,0,14,10/9/2021,18:35
GE New Roster,Off Topic,1,69,9/9/2023,16:11
FeelsBadMan for Benkai,General Discussion,5,13,15/10/2021,23:51
PRX Benkai walkouts,General Discussion,0,13,15/2/2023,16:35
Why Benkai Not Playing?,General Discussion,0,13,19/6/2023,15:10
Why VLR,General Discussion,2,35,10/1/2023,17:36
Happy Birthday to PRX Benkai,General Discussion,3,12,10/11/2021,17:19
Benkai walkout,General Discussion,11,12,15/7/2022,14:08
Benkai,General Discussion,0,12,1/5/2023,21:25
Benkai Overrated,General Discussion,0,12,4/6/2023,15:20
Benkai,General Discussion,0,12,1/9/2023,22:45
benkai,General Discussion,0,12,19/4/2022,12:13
What will Benkai’s opening entrance be?,General Discussion,0,11,15/4/2022,23:43
benkai,General Discussion,2,11,16/4/2022,3:10
Benkai Vs BR teans,General Discussion,0,11,21/4/2022,10:30
GUANGDONG TIGERS BENKAI,General Discussion,5,11,14/9/2023,18:24
Benkai,General Discussion,2,11,18/9/2023,18:36
what if Benkai went back to PRX,General Discussion,0,11,18/6/2024,13:44
Benkai,General Discussion,10,11,31/8/2022,12:38
GE new team,General Discussion,1,23,19/4/2024,23:53
Benkai entrance,General Discussion,0,9,2/9/2022,4:42
OMG BENKAI IS REPLACED,General Discussion,0,10,8/4/2023,21:09
Benkai disrespected,General Discussion,0,10,8/4/2023,21:21
Benkai message to Haters,General Discussion,9,10,13/4/2023,1:16
benkai,General Discussion,0,10,28/5/2023,21:00
GE Benkai??,General Discussion,0,10,12/9/2023,17:30
benkai's worst walkout,General Discussion,0,10,8/9/2022,12:15
usual BENKAI W,General Discussion,7,9,23/7/2022,1:16
PRX Benkai decision,General Discussion,0,9,8/4/2023,21:20
Benkai,General Discussion,1,9,21/8/2023,24:30
which team will pick benkai?,General Discussion,0,9,31/8/2023,15:02
GE benkai is real,General Discussion,4,9,16/9/2023,19:37
Benkai system player,General Discussion,0,9,3/9/2024,3:27
benkai,General Discussion,0,9,2/2/2025,18:16
PRX benkai on odds at Berlin,General Discussion,1,9,27/8/2021,4:12
Players u love and hate the most,General Discussion,0,75,27/9/2022,6:10
APAC Come,General Discussion,1,86,24/10/2022,1:53
Benkai WALKOUT,General Discussion,0,9,26/3/2023,20:02
d4v41,General Discussion,0,22,18/5/2023,15:05
L Paper Rex,General Discussion,0,15,4/6/2023,15:03
GE Benkai is not the IGL,General Discussion,0,9,17/9/2023,20:29
Realistic take on Russ,General Discussion,2,50,20/9/2023,23:20
BENKAI & MINDFREAK DUO WALKOUT,General Discussion,0,8,17/7/2022,23:58
Benkai Crosshair,General Discussion,0,8,18/7/2022,2:32
Benkai and D4v4i are mega underrated,General Discussion,0,8,23/7/2022,3:26
Benkai,General Discussion,2,8,21/5/2023,17:51
blazek1ng and benkai,General Discussion,0,8,21/9/2023,12:37
Wonder where Benkai is right now,General Discussion,3,8,22/12/2024,5:40
-something +benkai,General Discussion,0,8,3/2/2025,6:15
Most iconic player in champs,General Discussion,16,31,19/9/2022,11:03
Top 10 IGLs itw,General Discussion,0,76,5/1/2023,15:58
PRX changes?,General Discussion,0,28,6/4/2023,22:08
Jinggg and Benkai,General Discussion,1,7,19/4/2022,7:53
benkai,General Discussion,6,7,23/7/2022,3:54
Benkai HAHAHAHA,General Discussion,0,5,25/7/2022,12:54
I am sorry BENKAI,General Discussion,0,7,8/4/2023,22:59
Why benkai is benched,General Discussion,0,7,6/5/2023,22:51
Benkai on derke,General Discussion,0,7,31/5/2023,19:40
benkai what are you doing,General Discussion,0,7,15/4/2024,22:31
Benkai & Blazeking Vs monyet facing criticism,General Discussion,1,7,18/6/2024,21:57
Benkai,General Discussion,0,7,30/6/2024,18:35
Top 5 firepower IGLs (updated),General Discussion,2,36,13/6/2022,14:51
OpTic anime arc,General Discussion,6,17,13/7/2022,1:21
Banger,General Discussion,2,21,5/9/2022,9:49
Top IGLs Worldwide,General Discussion,0,21,28/3/2023,11:21
Paper Rex Tweet,General Discussion,1,39,4/6/2023,14:28
Paper Rex roster??????,General Discussion,1,35,4/6/2023,16:11
why cgrs > benkai,General Discussion,1,7,17/6/2023,16:26
100T Changes (warning: wall of text),General Discussion,32,95,18/6/2023,18:51
Let’s summarize GE’s team for 2024,General Discussion,4,66,29/9/2023,24:12
Pacific possible roster changes,General Discussion,0,76,30/4/2024,1:28
