skrossi + LF vs f0rsaken right now!,General Discussion,0,123,28/10/2022,20:39
"""something is still above Demon1"" - f0rsaken",General Discussion,19,96,25/8/2023,5:39
F0rsaken and Jing vs Derke and Alfajer,General Discussion,0,85,25/6/2022,18:25
the most overrated player is f0rsaken,General Discussion,0,80,16/4/2022,1:56
f0rsaken is the best.,General Discussion,56,72,18/3/2024,18:42
Chronicle >>>>> F0rsaken by far,General Discussion,0,67,13/5/2024,4:01
f0rsakeN and something lost to a GE player,General Discussion,0,62,13/3/2023,22:45
f0rsaken is shit,General Discussion,0,62,13/5/2024,10:00
f0rsaken NA franchise,General Discussion,0,59,19/7/2022,13:10
f0rsakeN PLZ,General Discussion,1,57,13/7/2024,21:29
f0rsakeN in Berlin,General Discussion,4,56,21/8/2021,16:55
SEN f0rsaken??,General Discussion,0,50,22/4/2022,1:51
something > f0rsaken,General Discussion,1,50,13/5/2024,10:23
F0rsaken little bro,General Discussion,1,47,14/7/2022,20:09
F0rsaken is the hottest valorant player,General Discussion,0,45,13/9/2023,22:04
f0rsaken,General Discussion,2,40,4/8/2024,20:13
SEN T0nz vs PRX F0rsaken,General Discussion,4,40,22/11/2023,14:33
F0rsaken about prx situation,General Discussion,25,39,11/2/2025,13:28
F0rsaken covid !?,General Discussion,0,38,13/7/2022,17:03
f0rsakeN HYPE,General Discussion,0,37,4/9/2021,16:59
F0RSAKEN YORU LOL,General Discussion,1,37,25/3/2022,13:33
Chron > f0rsaken,General Discussion,9,36,16/8/2024,17:49
Something's Jett vs f0rsaken's Jett,General Discussion,0,35,4/3/2023,13:30
F0rsaken,General Discussion,5,34,23/3/2025,16:46
indo come (f0rsaken fans),General Discussion,0,33,2/4/2023,19:05
heat and f0rsaken,General Discussion,7,32,12/9/2021,3:45
PRX f0rsakeN,General Discussion,0,31,19/5/2022,15:41
f0rsaken 18 assist,General Discussion,6,31,4/5/2024,18:52
f0rsaken and chovy?,Off Topic,-8,31,16/5/2024,16:47
lmao f0rsaken,General Discussion,0,31,29/1/2025,20:11
Jinggg or F0rsaken,General Discussion,2,30,23/11/2022,15:59
f0rsaken,General Discussion,0,30,20/5/2023,19:23
F0rsaken agent pool,General Discussion,20,30,11/8/2023,8:51
f0rsaken,General Discussion,5,29,4/3/2024,7:19
f0rsaken,General Discussion,0,28,7/9/2022,22:22
patiphan vs f0rsakeN,General Discussion,0,28,25/10/2022,22:52
PRX F0RSAKEN IS a genius,General Discussion,0,28,17/7/2023,9:30
"Alfajer > f0rsaken, Jinggg ?",General Discussion,0,27,29/6/2022,19:07
F0rsaken Interview,General Discussion,27,27,11/8/2023,9:43
F0rsaken underpaid?,General Discussion,0,26,18/4/2022,10:46
f0rsaken new role?,General Discussion,2,26,13/3/2023,18:44
f0rsakeN is the problem,General Discussion,6,26,8/4/2023,18:49
F0rsaken,General Discussion,0,26,27/4/2024,16:32
I feel bad for f0rsakeN,General Discussion,0,26,4/6/2024,12:29
F0rsakeN is a cheater,General Discussion,0,25,7/12/2023,19:48
f0rsaken thread,General Discussion,14,25,16/3/2024,12:47
Prx F0rsaken,General Discussion,1,25,6/7/2024,14:40
f0rsakeN,General Discussion,0,24,24/7/2021,13:49
HOW MUCH IS F0rsaken WORTH????,General Discussion,0,24,22/7/2022,23:03
Mindfreak and f0rsaken,General Discussion,1,24,4/4/2023,10:43
f0rsakeN,General Discussion,0,24,4/8/2024,15:52
F0rsaken 10 yo brother,General Discussion,4,23,18/12/2022,23:22
f0rsakeN and Leaf same person?,General Discussion,6,23,6/5/2023,18:38
f0rsakeN pacific MVP,General Discussion,10,23,21/6/2023,18:11
F0rsaken vs Surf vs Pati,General Discussion,0,22,24/3/2022,21:17
f0rsaken 1000000 iq strat nostradamus,General Discussion,8,22,21/11/2023,12:23
F0rsaken is on fraudwatch,General Discussion,0,22,31/5/2024,19:28
Forsaken express interest to join FNATIC/M3C,General Discussion,8,96,6/7/2022,20:22
f0rsaken > tenz ?,General Discussion,2,21,25/3/2022,14:32
f0rsaken,General Discussion,15,21,25/6/2022,18:30
F0rsaken Agent Pool,General Discussion,16,21,18/3/2024,3:08
f0rsaken,General Discussion,0,21,24/7/2022,22:40
f0rsakeN's pickems,General Discussion,0,21,6/7/2023,23:45
f0rsaken open to go to EU/NA,General Discussion,0,20,22/4/2022,17:13
f0rsakeN appreciation,General Discussion,6,20,24/6/2023,15:13
F0rsaken height,General Discussion,0,20,25/8/2023,5:25
F0rsaken asking Jinggg,General Discussion,34,20,24/8/2023,11:22
f0rsaken,General Discussion,6,20,18/3/2024,2:58
f0rsaken is the greatest VAL player of all time,General Discussion,0,20,23/3/2025,16:46
f0rsakeN,General Discussion,18,19,19/4/2022,5:21
f0rsaken aim,General Discussion,32,19,12/5/2023,18:08
F0RSAKEN,General Discussion,4,19,11/8/2023,8:43
Why f0rsaken is the undisputed GOAT,General Discussion,0,19,15/9/2023,3:27
Take f0rsaken back to duelist?,General Discussion,6,19,4/8/2024,17:09
f0rsaken and Japan,General Discussion,0,19,23/7/2023,20:18
if PRX disband,General Discussion,0,98,17/4/2024,1:37
make your world roster,General Discussion,3,100,29/5/2024,6:20
Jinggg > f0rsaken,General Discussion,1,18,26/3/2022,17:10
SEN f0rsaken,General Discussion,0,18,7/10/2022,2:26
skrossi > jinggg/f0rsaken/mixwell/zeek,General Discussion,0,18,8/12/2022,11:58
Keznit racism towards PRX F0rsaken,General Discussion,0,18,5/1/2024,17:23
f0rsakeN vs chronicle,General Discussion,0,18,20/4/2024,18:52
f0rsaken glow down,General Discussion,0,18,9/8/2024,1:30
F0RSAKEN SAYS THAT,General Discussion,1,18,23/3/2024,2:55
Jinggg vs F0rsaken,General Discussion,0,17,25/8/2022,10:58
SEN f0rsaken,General Discussion,0,14,5/10/2022,21:57
MiTH f0rsaken,General Discussion,2,17,18/10/2022,11:52
f0rsakeN one of the best flex in the world?,General Discussion,5,17,20/6/2023,15:06
f0rsaken,General Discussion,3,17,18/3/2024,1:14
f0rsaken is not pacific goat,General Discussion,0,16,21/3/2024,22:21
f0rsakeN form slump,General Discussion,0,16,4/5/2024,21:36
Flexibility is so overrated.,General Discussion,0,86,5/5/2024,16:13
forsaken or chronicle?,Off Topic,-32,103,13/5/2024,20:31
reason why f0rsaken is the goat,General Discussion,0,16,18/6/2024,21:35
f0rsaken too good,General Discussion,0,15,7/8/2021,12:42
f0rsaken,General Discussion,4,15,16/3/2024,12:34
F0rsaken,General Discussion,26,15,18/3/2024,3:21
f0rsakeN NeoN,General Discussion,3,15,20/7/2024,15:41
f0rsaken skincare routine,General Discussion,2,15,11/8/2023,10:25
Monyet - f0rsaken,General Discussion,0,15,11/9/2023,1:13
F0rsaken vs Patipan,General Discussion,1,14,11/9/2021,20:44
f0rsaken,General Discussion,1,14,25/7/2022,12:39
f0rsaken vs xccurate,General Discussion,1,14,14/9/2023,20:02
Surf is better than f0rsaken ?,General Discussion,0,14,28/4/2024,21:37
f0rsaken crying why?,General Discussion,0,14,1/6/2024,21:28
f0rsaken,General Discussion,0,14,25/11/2024,2:29
F0rsaken,General Discussion,2,14,30/3/2025,17:47
APAC fans come,General Discussion,0,98,2/11/2022,19:22
F0rsaken = best yoru in the world,General Discussion,9,14,19/11/2022,3:27
F0rsakeN,General Discussion,0,14,26/3/2023,16:34
All-VCT Team Voting,General Discussion,2,87,26/8/2023,12:48
Every agent GOAT,General Discussion,0,108,19/9/2023,4:21
f0rsaken,General Discussion,0,13,18/9/2021,14:33
Yay Victor > F0rsaken Jinggg,General Discussion,0,13,18/7/2022,18:29
f0rsaken yoru,General Discussion,4,13,26/3/2023,17:22
f0rsakeN mad,General Discussion,1,13,2/6/2023,19:20
f0rsakeN,General Discussion,2,13,5/12/2023,15:46
f0rsakeN,General Discussion,5,13,30/11/2024,18:55
F0rsaken best flex? OMEGALUL,General Discussion,0,13,20/8/2023,4:04
f0rsaken Deadlock,General Discussion,0,13,22/8/2023,12:38
f0rsaken doing revolutionary stuff again,General Discussion,6,13,19/2/2024,15:19
f0rsakeN Raze,General Discussion,2,13,18/3/2024,2:50
f0rsaken,General Discussion,6,13,18/3/2024,12:26
F0rsaken or Patiphan,General Discussion,1,12,11/9/2021,22:02
Fake F0rsaken,General Discussion,0,12,16/4/2022,1:59
F0rsaken hater,General Discussion,1,12,21/6/2023,16:29
f0rsaken come,General Discussion,2,12,30/3/2025,18:11
SG Something,General Discussion,6,27,12/3/2023,18:39
Make your own team (2),General Discussion,0,54,7/6/2023,19:52
what makes f0rsaken so good,General Discussion,1,12,21/6/2023,13:55
similarities between f0rsaken and faker,General Discussion,3,12,19/11/2023,18:44
someone save f0rsaken pls,General Discussion,0,12,16/3/2024,16:45
